name,handedness,height,weight,avg,HR,BMI,Body_Size
Gates Brown,L,71,220,0.257,84,31,Obese
Darryl Motley,R,69,196,0.243,44,29,Overweight
Mike Epstein,L,75,230,0.244,130,29,Overweight
Joe Foy,R,72,215,0.248,58,29,Overweight
John Ellis,R,74,225,0.262,69,29,Overweight
Willie Horton,R,71,209,0.273,325,29,Overweight
Greg Luzinski,R,73,220,0.276,307,29,Overweight
Burt Hooton,R,73,210,0.123,4,28,Overweight
Tony Cloninger,R,72,210,0.192,11,28,Overweight
Dave Nicholson,R,74,215,0.212,61,28,Overweight
Jeff Newman,R,74,215,0.224,63,28,Overweight
Don Leppert,R,74,220,0.229,15,28,Overweight
Mike Brumley,L,70,195,0.229,5,28,Overweight
Doc Edwards,R,74,215,0.238,15,28,Overweight
Ken Phelps,L,73,209,0.239,123,28,Overweight
Pat Putnam,L,72,205,0.255,63,28,Overweight
Tony Solaita,L,72,210,0.255,50,28,Overweight
Ray Fosse,R,74,215,0.256,61,28,Overweight
Mark Brouhard,R,73,210,0.259,25,28,Overweight
Boog Powell,L,76,230,0.266,339,28,Overweight
Gail Hopkins,L,70,198,0.266,25,28,Overweight
Carlos May,L,71,200,0.274,90,28,Overweight
Lamar Johnson,R,74,215,0.287,64,28,Overweight
Alex Johnson,R,72,205,0.288,78,28,Overweight
Steve Garvey,R,70,192,0.294,272,28,Overweight
Ray Culp,R,72,200,0.123,1,27,Overweight
Carl Morton,R,72,200,0.156,7,27,Overweight
Jim French,L,68,180,0.196,5,27,Overweight
Doug Camilli,R,71,195,0.199,18,27,Overweight
Tom Egan,R,76,218,0.2,22,27,Overweight
Steve Huntz,B,73,204,0.206,16,27,Overweight
Dave Hilton,R,71,191,0.213,6,27,Overweight
Steve Renko,R,77,230,0.215,6,27,Overweight
Carmen Fanzone,R,72,200,0.224,20,27,Overweight
Buck Martinez,R,70,190,0.225,58,27,Overweight
Gorman Thomas,R,74,210,0.225,268,27,Overweight
Vic Correll,R,70,185,0.229,29,27,Overweight
Wayne Gross,L,74,210,0.233,121,27,Overweight
Jim Fairey,L,70,190,0.235,7,27,Overweight
Chuck Harrison,R,70,185,0.238,17,27,Overweight
Norm Miller,L,70,185,0.238,24,27,Overweight
Ed Kirkpatrick,L,71,195,0.238,85,27,Overweight
Bill Fahey,L,72,200,0.241,7,27,Overweight
Johnny Edwards,L,76,220,0.242,81,27,Overweight
Floyd Rayford,R,70,190,0.244,38,27,Overweight
Charlie Spikes,R,75,215,0.246,65,27,Overweight
Brant Alyea,R,75,215,0.247,38,27,Overweight
Earl Williams,R,75,215,0.247,138,27,Overweight
Bob Brenly,R,74,210,0.247,91,27,Overweight
Steve Nicosia,R,70,185,0.248,11,27,Overweight
John Orsino,R,75,215,0.249,40,27,Overweight
Dick Bertell,R,72,200,0.25,10,27,Overweight
Leron Lee,L,72,196,0.25,31,27,Overweight
Dave May,L,70,186,0.251,96,27,Overweight
Doug Rader,R,74,208,0.251,155,27,Overweight
Jerry Grote,R,70,185,0.252,39,27,Overweight
John Mayberry,L,75,215,0.253,255,27,Overweight
Tommie Agee,R,71,195,0.255,130,27,Overweight
Jerry Turner,L,69,180,0.257,45,27,Overweight
Steve Hovley,L,70,188,0.258,8,27,Overweight
Ron Jackson,R,72,200,0.259,56,27,Overweight
Ed Ott,L,70,190,0.259,33,27,Overweight
Bobby Valentine,R,70,189,0.26,12,27,Overweight
Ron Cey,R,70,185,0.261,316,27,Overweight
Bombo Rivera,R,70,187,0.265,10,27,Overweight
George Vukovich,L,72,198,0.268,27,27,Overweight
Rich Rollins,R,70,185,0.269,77,27,Overweight
Walt Williams,R,66,165,0.27,33,27,Overweight
Merv Rettenmund,R,70,190,0.271,66,27,Overweight
Willie Aikens,L,75,220,0.271,110,27,Overweight
Ted Simmons,B,71,193,0.285,248,27,Overweight
Ron LeFlore,R,72,200,0.288,59,27,Overweight
Bob Watson,R,72,201,0.295,184,27,Overweight
Joe Torre,R,74,212,0.297,252,27,Overweight
Pete Rose,B,71,192,0.303,160,27,Overweight
Vida Blue,B,72,189,0.104,4,26,Overweight
Steve Barber,L,72,195,0.115,5,26,Overweight
Jerry Koosman,R,74,205,0.119,2,26,Overweight
Dave McNally,R,71,185,0.133,9,26,Overweight
Larry Dierker,R,76,215,0.136,4,26,Overweight
Tom Seaver,R,73,195,0.154,12,26,Overweight
Jim Barr,R,75,205,0.162,1,26,Overweight
Andy Messersmith,R,73,200,0.17,5,26,Overweight
Mike Ryan,R,74,205,0.193,28,26,Overweight
Steve Carlton,L,76,210,0.201,13,26,Overweight
Jim Rooker,R,72,195,0.201,7,26,Overweight
Jerry Narron,L,75,205,0.211,21,26,Overweight
Alan Knicely,R,72,190,0.213,12,26,Overweight
Mick Kelleher,R,69,176,0.213,0,26,Overweight
Jim Price,R,72,192,0.214,18,26,Overweight
Jeff Torborg,R,72,195,0.214,8,26,Overweight
Hal King,L,73,200,0.214,24,26,Overweight
Skip Jutze,R,71,190,0.215,3,26,Overweight
Steve Swisher,R,74,205,0.216,20,26,Overweight
Tucker Ashford,R,73,195,0.218,6,26,Overweight
Ted Ford,R,70,180,0.219,17,26,Overweight
John Boccabella,R,73,195,0.219,26,26,Overweight
Jerry Buchek,R,71,185,0.22,22,26,Overweight
Bob Coluccio,R,71,183,0.22,26,26,Overweight
Larry Cox,R,70,178,0.221,12,26,Overweight
Ken Gerhart,R,72,190,0.221,24,26,Overweight
Gary Allenson,R,71,185,0.221,19,26,Overweight
Kevin Bell,R,72,195,0.222,13,26,Overweight
Danny Walton,R,72,195,0.223,28,26,Overweight
Joe Lahoud,L,73,198,0.223,65,26,Overweight
Marc Hill,R,75,205,0.223,34,26,Overweight
Dick Nen,L,74,200,0.224,21,26,Overweight
Tim Laudner,R,75,212,0.225,77,26,Overweight
Rich McKinney,R,71,185,0.225,20,26,Overweight
Jim Gosger,L,71,185,0.226,30,26,Overweight
Catfish Hunter,R,72,190,0.226,6,26,Overweight
Sal Butera,R,72,190,0.227,8,26,Overweight
Dick Billings,R,73,195,0.227,16,26,Overweight
Chris Bando,B,72,195,0.227,27,26,Overweight
Jim Traber,L,72,194,0.227,27,26,Overweight
Ken Suarez,R,69,175,0.227,5,26,Overweight
Steve Yeager,R,72,190,0.228,102,26,Overweight
Russ Gibson,R,73,195,0.228,8,26,Overweight
Dave McKay,B,73,195,0.229,21,26,Overweight
Bob Didier,B,72,190,0.229,0,26,Overweight
Glenn Borgmann,R,76,210,0.229,16,26,Overweight
Dave Hostetler,R,76,215,0.229,37,26,Overweight
Sandy Valdespino,L,68,170,0.23,7,26,Overweight
Barry Foote,R,75,205,0.23,57,26,Overweight
John Bateman,R,75,210,0.23,81,26,Overweight
Bob Kearney,R,72,190,0.233,27,26,Overweight
Clay Dalrymple,L,72,190,0.233,55,26,Overweight
Rick Sweet,B,73,200,0.234,6,26,Overweight
Chris Cannizzaro,R,72,190,0.235,18,26,Overweight
Craig Kusick,R,75,210,0.235,46,26,Overweight
Danny Goodwin,L,73,195,0.236,13,26,Overweight
Andy Kosco,R,75,205,0.236,73,26,Overweight
Luis Aguayo,R,69,173,0.236,37,26,Overweight
Aurelio Rodriguez,R,70,180,0.237,124,26,Overweight
Glenn Burke,R,72,195,0.237,2,26,Overweight
Bruce Bochy,R,75,205,0.239,26,26,Overweight
Joe Hague,L,72,195,0.239,40,26,Overweight
Bobby Clark,R,72,190,0.239,19,26,Overweight
Onix Concepcion,R,66,160,0.239,3,26,Overweight
Ron Brand,R,67,167,0.239,3,26,Overweight
Ed Herrmann,L,73,195,0.24,80,26,Overweight
Dick Green,R,70,180,0.24,80,26,Overweight
Bill Schroeder,R,74,200,0.24,61,26,Overweight
Joe Ferguson,R,74,200,0.24,122,26,Overweight
Frank Tepedino,L,71,185,0.241,6,26,Overweight
Dave Skaggs,R,74,200,0.241,3,26,Overweight
Bill Nahorodny,R,74,200,0.241,25,26,Overweight
Hank Allen,R,72,190,0.241,6,26,Overweight
Gene Tenace,R,72,190,0.241,201,26,Overweight
Bob Robertson,R,73,195,0.242,115,26,Overweight
Bob Brower,R,71,185,0.242,17,26,Overweight
Rick Sofield,L,73,195,0.243,9,26,Overweight
Hal Breeden,R,74,200,0.243,21,26,Overweight
Mike Jorgensen,L,72,195,0.243,95,26,Overweight
Leroy Stanton,R,73,195,0.244,77,26,Overweight
Deron Johnson,R,74,200,0.244,245,26,Overweight
Angel Mangual,R,70,178,0.245,22,26,Overweight
Roger Freed,R,72,190,0.245,22,26,Overweight
Roberto Pena,R,68,170,0.245,13,26,Overweight
Ellie Rodriguez,R,71,185,0.245,16,26,Overweight
Mike Anderson,R,74,200,0.246,28,26,Overweight
Gary Roenicke,R,75,205,0.247,121,26,Overweight
Darrell Porter,L,72,193,0.247,188,26,Overweight
Max Alvis,R,71,185,0.247,111,26,Overweight
Darrell Evans,L,74,200,0.248,414,26,Overweight
Jim Sundberg,R,72,190,0.248,95,26,Overweight
Don Mincher,L,75,205,0.249,200,26,Overweight
Denny Doyle,L,69,175,0.25,16,26,Overweight
Johnny Oates,L,71,188,0.25,14,26,Overweight
Rick Bosetti,R,71,185,0.25,17,26,Overweight
Fran Healy,R,77,220,0.25,20,26,Overweight
Jerry Martin,R,73,195,0.251,85,26,Overweight
Jerry Moses,R,75,210,0.251,25,26,Overweight
Jesse Gonder,L,70,180,0.251,26,26,Overweight
Joe Azcue,R,72,190,0.252,50,26,Overweight
Lynn Jones,R,69,175,0.252,7,26,Overweight
Bill Melton,R,74,200,0.253,160,26,Overweight
Len Gabrielson,L,76,210,0.253,37,26,Overweight
Sal Bando,R,72,195,0.254,242,26,Overweight
Bo Diaz,R,71,185,0.255,87,26,Overweight
Charlie James,R,73,195,0.255,29,26,Overweight
Champ Summers,L,74,205,0.255,54,26,Overweight
Bill Sharp,L,70,178,0.255,9,26,Overweight
Walt Bond,L,79,228,0.256,41,26,Overweight
Ike Brown,R,72,190,0.256,20,26,Overweight
Bob Oliver,R,75,205,0.256,94,26,Overweight
Pete LaCock,L,74,200,0.257,27,26,Overweight
Duane Josephson,R,72,190,0.258,23,26,Overweight
